TransaccionID,TarjetaID,ComercioID,FechaHora,Monto,Ciudad,Canal
TRX000044,2308,49,2026-01-10 17:19:31,200.0,Trujillo,App
TRX000045,474,73,2025-12-23 18:04:33,42.33,Piura,POS
TRX000046,2667,21,2025-12-18 14:31:50,6.8,Piura,App
TRX000047,570,82,2026-02-02 02:51:31,41.64,Arequipa,ATM
TRX000048,1484,39,2025-11-30 22:24:13,259.17,Lima,ATM
TRX000049,2252,20,2025-09-30 11:34:23,106.56,Trujillo,App
TRX000050,1850,22,2026-01-23 18:31:07,294.41,Lima,Web
TRX000051,1132,87,2025-06-21 10:09:02,148.57,Lima,Web
TRX000052,968,30,2025-07-09 11:54:50,59.26,Piura,Web
TRX000053,2794,27,2026-05-04 20:22:47,128.87,Arequipa,ATM
TRX000054,1572,43,2025-11-24 21:47:54,127.62,Trujillo,Web
TRX000055,195,60,2025-07-17 09:45:41,196.14,Piura,Web
TRX000056,2394,77,2025-11-12 18:53:50,120.13,Cusco,Web
TRX000057,2210,52,2025-09-27 05:46:11,26.25,Trujillo,App
TRX000058,2297,32,2025-10-24 19:56:11,92.98,Lima,ATM
TRX000059,3039,71,2026-01-17 21:01:56,32.0,Piura,POS
TRX000060,2366,43,2026-01-12 15:25:02,122.98,Lima,App
TRX000061,2778,90,2026-01-23 18:40:58,56.3,Cusco,ATM
TRX000062,2730,30,2025-12-29 09:59:58,20.91,Arequipa,ATM
TRX000063,2139,93,2026-02-15 13:08:32,21.02,Cusco,App
TRX000064,835,44,2025-11-03 08:37:11,444.69,Trujillo,Web
TRX000065,1785,48,2026-03-16 17:59:19,32.67,Piura,App
TRX000066,1348,90,2026-02-21 17:26:25,54.86,Arequipa,POS
TRX000067,1240,100,2025-09-20 10:10:23,167.32,Cusco,POS
TRX000068,1411,72,2025-09-25 07:12:51,23.71,Piura,POS
TRX000069,2006,29,2025-07-31 03:06:04,4.09,Lima,POS
TRX000070,2165,97,2025-10-06 16:50:13,33.3,Arequipa,App
TRX000071,2817,34,2026-05-19 07:50:37,44.71,Trujillo,App
TRX000072,798,99,2025-07-10 07:02:21,44.11,Cusco,App
TRX000073,2320,23,2026-04-14 09:51:57,11.42,Trujillo,Web
TRX000074,234,79,2025-09-24 23:45:22,41.33,Lima,POS
TRX000075,84,82,2026-03-19 22:58:18,164.83,Lima,App
TRX000076,2583,21,2025-10-25 01:03:18,13.0,Lima,ATM
TRX000077,327,96,2025-10-25 18:31:17,334.86,Lima,ATM
TRX000078,2804,68,2025-07-07 18:46:54,56.56,Piura,POS
TRX000079,1815,95,2025-09-20 20:42:14,54.96,Arequipa,Web
TRX000080,2124,43,2026-01-18 23:59:55,0.7,Piura,Web
TRX000081,1845,34,2026-06-03 23:52:21,177.45,Lima,POS
TRX000082,2022,1,2025-10-06 01:49:48,287.07,Lima,App
TRX000083,2081,46,2025-09-29 06:29:49,203.11,Cusco,Web
TRX000084,1990,98,2026-04-19 15:04:48,27.22,Piura,Web
TRX000085,1371,11,2025-12-09 12:45:09,76.84,Trujillo,POS
TRX000086,2859,85,2025-09-16 23:51:48,5.17,Cusco,ATM
TRX000087,2237,16,2025-09-16 23:46:18,64.91,Lima,App
TRX000088,2945,35,2026-03-01 04:03:55,90.9,Trujillo,App
TRX000089,2372,83,2025-09-07 20:56:13,285.33,Trujillo,App
TRX000090,880,35,2025-11-08 10:42:04,247.1,Piura,Web
TRX000091,386,30,2025-09-08 16:24:51,130.96,Trujillo,Web
TRX000092,1958,94,2025-10-05 14:03:52,0.47,Trujillo,ATM
TRX000093,897,66,2025-06-16 16:45:33,225.23,Lima,ATM
TRX000094,170,82,2026-04-04 09:27:27,238.86,Arequipa,Web
TRX000095,503,49,2025-11-26 13:17:46,62.52,Arequipa,POS
TRX000096,2017,91,2025-07-22 23:16:30,354.83,Piura,Web
TRX000097,2965,65,2026-03-02 19:20:44,19.32,Cusco,ATM
TRX000098,2616,19,2025-11-30 03:51:56,5.39,Trujillo,ATM
TRX000099,1034,82,2025-08-08 11:00:39,102.2,Trujillo,ATM
TRX000100,261,76,2025-09-11 20:14:04,259.32,Piura,App
TRX000101,1914,38,2025-11-10 04:35:32,5.17,Trujillo,Web
TRX000102,1268,93,2025-07-05 09:41:01,92.55,Piura,POS
TRX000103,2376,62,2025-10-17 04:24:26,68.22,Lima,ATM
TRX000104,2112,19,2025-07-16 10:19:37,81.47,Piura,POS
TRX000105,1920,76,2025-08-30 17:11:47,81.12,Cusco,Web
TRX000106,581,66,2025-12-25 05:19:44,117.01,Trujillo,POS
TRX000107,2068,66,2025-11-26 14:01:20,160.68,Cusco,Web
TRX000108,824,58,2025-08-10 02:20:09,224.57,Arequipa,Web
TRX000109,1982,23,2026-01-20 14:03:41,68.05,Trujillo,Web
TRX000110,553,34,2025-09-03 05:19:26,88.65,Cusco,POS
TRX000111,2415,85,2025-09-25 18:19:49,375.18,Piura,POS
TRX000112,2612,16,2025-10-18 04:15:40,323.09,Arequipa,Web
TRX000113,2260,52,2025-12-02 08:14:08,150.34,Lima,POS
TRX000114,690,86,2025-06-14 19:32:42,29.41,Arequipa,Web
TRX000115,799,70,2026-04-08 08:19:29,90.38,Lima,POS
TRX000116,1129,75,2026-01-22 00:17:47,29.95,Cusco,App
TRX000117,1786,46,2025-11-29 06:16:11,20.78,Piura,Web
TRX000118,1084,39,2025-12-21 22:57:00,71.59,Lima,App
TRX000119,2782,81,2025-11-18 14:29:19,65.12,Arequipa,POS
TRX000120,1794,83,2025-11-02 03:21:49,73.57,Cusco,ATM
TRX000121,2236,82,2025-06-30 21:10:04,168.47,Cusco,POS
TRX000122,2641,59,2026-01-20 14:54:14,169.51,Lima,ATM
TRX000123,883,87,2025-12-31 20:42:52,31.1,Cusco,App
TRX000124,986,100,2025-11-08 12:51:22,68.18,Cusco,App
TRX000125,743,28,2025-10-06 14:13:41,177.0,Lima,Web
TRX000126,2263,69,2026-05-17 22:13:53,389.76,Lima,Web
TRX000127,952,93,2025-08-25 10:07:14,147.91,Cusco,ATM
TRX000128,1386,50,2025-07-20 11:55:12,322.9,Cusco,ATM
TRX000129,2966,24,2025-12-19 04:24:25,117.03,Lima,POS
TRX000130,471,14,2026-03-15 06:44:09,20.79,Lima,ATM
TRX000131,1225,47,2025-07-06 18:57:51,6.87,Cusco,POS
TRX000132,1108,35,2026-03-12 13:27:12,19.31,Trujillo,Web
TRX000133,1360,71,2026-01-24 02:17:57,1.4,Cusco,POS
TRX000134,2673,69,2026-05-19 07:36:47,58.06,Piura,ATM
TRX000135,760,80,2025-06-30 06:10:57,194.77,Trujillo,App
TRX000136,185,21,2026-05-27 08:49:53,56.46,Arequipa,POS
TRX000137,2976,42,2026-01-08 19:13:24,44.7,Piura,POS
TRX000138,379,76,2026-05-08 13:39:16,19.62,Arequipa,POS
TRX000139,1024,18,2026-03-09 05:36:37,39.7,Piura,ATM
TRX000140,2562,71,2025-06-26 07:32:28,277.83,Piura,App
TRX000141,1601,5,2026-01-28 05:25:07,94.28,Piura,ATM
TRX000142,2909,9,2025-09-06 00:07:02,12.66,Trujillo,ATM
TRX000143,2662,17,2025-11-28 09:58:29,22.38,Cusco,ATM
TRX000144,1891,8,2026-02-02 03:53:37,124.18,Trujillo,App
TRX000145,919,48,2025-08-28 08:01:32,94.66,Lima,Web
TRX000146,802,36,2026-03-15 13:40:52,25.12,Arequipa,App
TRX000147,596,83,2025-12-14 13:55:21,121.04,Arequipa,App
TRX000148,2576,16,2025-11-10 11:56:15,98.59,Piura,Web
TRX000149,2679,11,2025-06-27 22:24:30,2.52,Trujillo,Web
TRX000150,2604,60,2026-04-08 11:39:12,76.23,Arequipa,POS
TRX000151,2746,75,2026-02-12 01:08:18,242.84,Trujillo,App
TRX000152,294,73,2026-01-20 17:41:17,147.91,Piura,POS
TRX000153,1582,35,2025-11-06 06:45:41,5.7,Piura,ATM
TRX000154,472,15,2025-07-03 09:59:20,182.3,Piura,ATM
TRX000155,2683,100,2026-01-28 03:52:28,0.89,Arequipa,Web
TRX000156,474,22,2025-11-04 18:51:24,92.25,Lima,Web
TRX000157,2868,69,2025-07-23 17:24:33,106.99,Arequipa,POS
TRX000158,797,3,2025-09-16 11:11:25,134.37,Piura,App
TRX000159,2434,44,2025-06-18 09:52:46,17.71,Arequipa,ATM
TRX000160,122,12,2026-05-28 15:06:06,309.01,Lima,Web
TRX000161,990,73,2026-02-02 20:49:03,36.7,Trujillo,App
TRX000162,1895,40,2025-06-16 17:01:49,209.74,Lima,Web
TRX000163,1932,81,2025-12-12 23:16:01,75.73,Trujillo,App
TRX000164,2203,79,2026-06-01 12:46:06,373.62,Cusco,ATM
TRX000165,1238,59,2025-09-26 03:01:13,55.63,Piura,ATM
TRX000166,1093,87,2025-11-18 11:55:34,72.42,Lima,ATM
TRX000167,3000,88,2026-05-21 22:41:14,30.03,Lima,App
TRX000168,1050,38,2026-06-06 06:16:26,74.1,Lima,ATM
TRX000169,707,14,2025-07-16 02:07:43,146.28,Cusco,ATM
TRX000170,1300,41,2025-11-06 20:57:52,52.87,Piura,Web
TRX000171,2807,46,2025-11-14 00:43:25,66.67,Lima,Web
TRX000172,2609,39,2025-07-12 15:16:11,34.82,Lima,App
TRX000173,2834,9,2025-07-25 23:16:45,230.23,Arequipa,App
TRX000174,2260,76,2025-10-06 21:13:00,20.92,Cusco,App
TRX000175,2155,68,2025-07-25 13:52:53,75.67,Trujillo,POS
TRX000176,349,44,2026-05-02 07:12:16,174.19,Piura,ATM
TRX000177,1689,84,2026-04-03 04:52:58,18.39,Piura,App
TRX000178,1487,38,2025-10-19 16:19:49,229.86,Trujillo,ATM
TRX000179,2862,13,2025-11-19 15:44:16,18.27,Lima,Web
TRX000180,1107,38,2026-04-20 15:11:16,11.24,Piura,POS
TRX000181,2698,20,2025-12-03 04:27:49,40.31,Piura,ATM
TRX000182,981,55,2025-10-02 06:54:42,28.13,Cusco,ATM
TRX000183,990,42,2026-03-29 19:00:54,409.9,Arequipa,Web
TRX000184,2132,83,2026-02-11 13:13:14,199.91,Arequipa,ATM
TRX000185,570,31,2025-09-19 20:34:04,15.55,Lima,POS
TRX000186,601,75,2025-12-19 05:13:19,0.19,Piura,Web
TRX000187,202,3,2025-10-02 10:05:33,27.49,Cusco,POS
TRX000188,1198,46,2026-02-07 20:41:17,187.2,Arequipa,Web
TRX000189,2100,80,2025-08-04 23:20:40,11.17,Arequipa,ATM
TRX000190,2133,59,2026-01-17 12:46:32,218.04,Lima,Web
TRX000191,1409,43,2025-07-26 23:30:41,214.2,Lima,POS
TRX000192,2273,68,2025-09-28 21:19:44,53.91,Arequipa,ATM
TRX000193,1900,24,2025-07-13 11:30:36,196.99,Piura,App
TRX000194,1122,80,2026-04-15 02:07:13,112.48,Cusco,POS
TRX000195,941,23,2025-09-16 03:53:03,44.65,Piura,Web
TRX000196,1476,34,2026-03-19 21:41:47,215.02,Arequipa,POS
TRX000197,395,93,2026-05-28 06:54:52,113.89,Arequipa,Web
TRX000198,2149,83,2025-07-28 18:55:49,104.49,Cusco,POS
TRX000199,1660,23,2025-09-10 08:02:44,289.9,Piura,Web
TRX000200,215,96,2025-07-13 12:30:09,570.22,Trujillo,App
TRX000201,1004,57,2025-10-27 15:18:32,11.67,Lima,App
TRX000202,1040,74,2026-05-11 16:14:14,112.87,Arequipa,Web
TRX000203,2557,7,2026-02-22 10:09:16,447.21,Lima,POS
TRX000204,2978,88,2026-02-28 00:53:51,24.44,Piura,POS
TRX000205,2875,54,2025-10-30 19:20:45,77.96,Lima,ATM
TRX000206,2887,35,2025-08-12 14:21:24,170.62,Piura,App
TRX000207,2874,65,2025-08-02 06:09:01,80.93,Lima,POS
TRX000208,2604,45,2025-07-04 22:59:05,0.65,Piura,POS
TRX000209,2263,98,2026-03-03 00:41:08,251.46,Trujillo,POS
TRX000210,289,69,2026-03-23 04:22:13,31.39,Lima,App
TRX000211,1996,69,2026-03-26 00:55:07,176.27,Lima,App
TRX000212,10,87,2025-08-06 01:57:07,7.8,Lima,App
TRX000213,2100,4,2025-07-23 10:51:44,2.07,Cusco,POS
TRX000214,2076,48,2025-09-11 19:26:36,391.34,Piura,Web
TRX000215,791,50,2025-10-07 05:31:56,18.41,Piura,App
TRX000216,2502,71,2025-12-24 17:29:48,337.32,Piura,ATM
TRX000217,521,72,2025-12-29 10:47:53,133.31,Arequipa,POS
TRX000218,29,79,2025-09-29 13:17:52,2.18,Piura,Web
TRX000219,1139,13,2025-08-02 04:14:49,174.9,Lima,App
TRX000220,1424,78,2026-01-31 22:14:58,1.89,Arequipa,App
TRX000221,2460,92,2025-10-06 10:09:31,186.38,Arequipa,POS
TRX000222,2368,29,2025-10-25 12:25:02,233.21,Lima,POS
TRX000223,3008,10,2025-08-11 06:14:13,104.22,Arequipa,POS
TRX000224,60,24,2026-04-03 09:09:19,294.91,Arequipa,POS
TRX000225,2660,50,2026-02-20 04:48:15,51.74,Cusco,POS
TRX000226,135,21,2026-01-21 07:30:46,66.25,Lima,App
TRX000227,2178,10,2026-01-04 23:19:58,66.41,Arequipa,Web
TRX000228,2469,25,2025-10-11 07:37:22,195.54,Trujillo,Web
TRX000229,594,43,2025-06-16 12:51:52,143.03,Trujillo,App
TRX000230,746,78,2026-04-26 17:17:59,443.66,Piura,Web
TRX000231,682,26,2026-03-12 10:50:08,0.89,Lima,ATM
TRX000232,1024,7,2025-11-13 06:09:20,187.22,Trujillo,ATM
TRX000233,812,48,2026-06-04 16:39:43,57.48,Cusco,App
TRX000234,882,30,2026-05-07 10:18:19,102.85,Trujillo,Web
TRX000235,704,35,2025-09-03 12:12:29,6.26,Cusco,ATM
TRX000236,1499,23,2025-12-03 19:43:41,702.07,Cusco,ATM
TRX000237,1972,90,2026-03-05 11:27:24,8.13,Lima,Web
TRX000238,1260,92,2026-03-03 11:41:29,197.54,Arequipa,Web
TRX000239,1548,90,2026-01-11 23:10:44,70.5,Piura,POS
TRX000240,558,74,2026-01-21 23:45:10,57.17,Trujillo,ATM
TRX000241,664,8,2025-11-19 01:57:46,12.41,Trujillo,ATM
TRX000242,2869,82,2025-11-29 19:12:02,141.21,Trujillo,POS
TRX000243,1666,69,2026-03-19 21:41:56,135.61,Arequipa,POS
TRX000244,1377,100,2026-01-15 16:15:13,99.61,Piura,POS
TRX000245,660,15,2025-11-22 21:45:18,40.74,Lima,POS
TRX000246,1785,30,2026-01-26 09:21:20,171.99,Cusco,Web
TRX000247,1222,4,2026-01-16 09:07:22,175.74,Cusco,Web
TRX000248,2388,2,2026-03-09 23:17:37,161.46,Piura,Web
TRX000249,1778,34,2025-09-18 11:57:45,60.06,Cusco,ATM
TRX000250,959,38,2026-05-13 15:07:13,115.28,Lima,Web
TRX000251,63,94,2025-10-27 08:34:35,77.83,Lima,ATM
TRX000252,1693,43,2026-03-19 17:06:38,22.03,Arequipa,POS
TRX000253,745,4,2025-10-21 22:45:15,62.81,Piura,POS
TRX000254,7,11,2026-01-23 21:18:13,29.18,Piura,ATM
TRX000255,1092,77,2026-05-18 05:13:23,87.87,Piura,ATM
TRX000256,2545,13,2026-05-24 21:11:57,161.34,Lima,ATM
TRX000257,2448,23,2026-05-30 19:49:36,14.45,Piura,App
TRX000258,21,88,2025-06-16 01:06:05,106.15,Piura,App
TRX000259,1417,92,2026-04-19 08:16:24,80.09,Piura,Web
TRX000260,232,80,2025-10-27 18:01:35,36.65,Lima,ATM
TRX000261,2874,37,2026-03-29 05:45:03,94.38,Arequipa,ATM
TRX000262,1768,49,2025-09-18 17:50:51,17.98,Lima,POS
TRX000263,511,24,2025-12-05 22:57:48,13.2,Lima,App
TRX000264,59,75,2025-11-28 07:26:51,68.92,Lima,ATM
TRX000265,2000,11,2025-09-27 19:12:15,107.57,Cusco,Web
TRX000266,2164,69,2026-01-21 06:34:03,96.91,Lima,App
TRX000267,1986,100,2026-06-07 04:22:20,128.63,Trujillo,POS
TRX000268,2057,71,2026-03-10 00:50:13,200.58,Arequipa,Web
TRX000269,2679,83,2026-04-07 23:26:48,482.11,Lima,Web
TRX000270,2996,28,2026-01-25 01:59:26,203.98,Cusco,App
TRX000271,2899,77,2025-10-29 03:26:03,172.24,Trujillo,POS
TRX000272,2765,61,2025-09-21 15:49:43,186.55,Arequipa,POS
TRX000273,1581,26,2026-02-13 05:16:33,280.91,Arequipa,Web
TRX000274,1071,26,2025-10-23 12:57:27,84.51,Lima,POS
TRX000275,468,28,2026-01-10 02:14:07,378.96,Cusco,POS
TRX000276,2472,40,2026-01-17 15:26:47,201.49,Lima,POS
TRX000277,3016,70,2025-11-16 08:32:35,176.44,Trujillo,ATM
TRX000278,2530,47,2025-11-04 21:09:51,195.55,Arequipa,ATM
TRX000279,1318,7,2026-06-10 10:11:14,66.24,Cusco,App
TRX000280,2080,35,2025-11-04 16:30:14,247.76,Piura,ATM
TRX000281,2499,7,2025-08-23 21:15:49,136.76,Trujillo,ATM
TRX000282,2828,79,2025-07-21 20:29:23,21.59,Piura,POS
TRX000283,2068,21,2026-03-14 07:36:17,157.14,Piura,App
TRX000284,1594,47,2026-03-10 13:03:50,56.08,Piura,App
TRX000285,2971,33,2025-12-28 11:41:40,4.48,Piura,Web
TRX000286,2249,98,2025-08-28 14:09:49,122.11,Piura,POS
TRX000287,2758,84,2025-10-22 01:09:42,87.94,Trujillo,ATM
TRX000288,768,29,2025-07-05 14:17:58,461.2,Arequipa,App
TRX000289,2294,94,2025-08-23 12:28:57,97.74,Cusco,Web
TRX000290,1957,29,2026-05-30 09:05:23,49.71,Lima,ATM
TRX000291,1966,17,2025-09-10 11:26:32,8.38,Lima,Web
TRX000292,2084,48,2026-02-17 03:43:30,215.16,Piura,ATM
TRX000293,707,58,2026-03-10 18:24:45,33.96,Lima,Web
TRX000294,480,90,2026-04-23 17:22:39,2.71,Piura,ATM
TRX000295,478,44,2026-03-31 13:29:37,65.56,Cusco,POS
TRX000296,1766,97,2025-09-03 01:12:01,8.54,Cusco,POS
TRX000297,2823,9,2025-09-24 01:05:45,8.84,Trujillo,POS
TRX000298,2751,93,2025-08-23 23:26:36,426.89,Arequipa,App
TRX000299,293,30,2025-09-07 21:08:50,282.26,Arequipa,Web
TRX000300,290,11,2025-12-22 01:07:08,22.16,Lima,ATM
TRX000301,62,96,2025-09-17 07:23:53,112.84,Trujillo,ATM
TRX000302,1189,85,2025-12-13 03:59:38,90.45,Trujillo,ATM
TRX000303,571,51,2026-03-04 04:33:42,230.6,Cusco,ATM
TRX000304,680,26,2025-07-07 04:20:11,162.49,Lima,App
TRX000305,2231,90,2026-03-18 13:47:08,8.46,Piura,POS
TRX000306,1944,65,2026-05-22 21:25:22,91.6,Trujillo,Web
TRX000307,1586,62,2025-10-26 04:05:20,81.36,Cusco,POS
TRX000308,689,47,2025-12-16 14:40:48,142.25,Piura,Web
TRX000309,295,43,2025-11-19 11:33:31,58.51,Lima,App
TRX000310,364,41,2026-04-08 06:50:32,18.7,Cusco,App
TRX000311,2106,79,2026-04-06 03:56:55,94.69,Piura,ATM
TRX000312,2915,60,2026-04-28 04:37:44,52.21,Lima,App
TRX000313,2911,99,2026-02-26 16:17:01,581.08,Trujillo,ATM
TRX000314,2191,38,2025-07-22 09:10:19,14.13,Piura,ATM
TRX000315,2468,8,2025-07-13 11:51:28,154.24,Piura,Web
TRX000316,2028,67,2025-11-16 15:07:37,160.89,Cusco,App
TRX000317,1187,5,2025-08-03 16:06:05,161.06,Piura,POS
TRX000318,1365,21,2025-07-13 20:22:15,31.59,Arequipa,Web
TRX000319,537,14,2025-12-20 19:37:42,54.1,Cusco,Web
TRX000320,2485,2,2025-06-23 18:05:53,12.34,Piura,Web
TRX000321,2114,15,2025-11-23 07:43:58,138.98,Trujillo,POS
TRX000322,1164,93,2025-06-21 14:35:40,101.4,Arequipa,App
TRX000323,127,91,2026-02-02 13:29:26,60.66,Lima,POS
TRX000324,1946,72,2026-05-12 16:09:01,187.31,Lima,POS
TRX000325,2759,56,2025-11-08 21:48:12,46.42,Cusco,ATM
TRX000326,2134,33,2025-08-02 21:47:45,21.17,Piura,ATM
TRX000327,655,60,2025-08-01 02:12:29,553.93,Cusco,POS
TRX000328,1509,26,2025-06-24 04:14:57,534.86,Trujillo,Web
TRX000329,1929,22,2025-09-30 07:12:37,91.0,Lima,POS
TRX000330,2688,5,2026-04-22 13:49:47,43.51,Lima,Web
TRX000331,855,59,2026-03-06 18:37:31,9.92,Cusco,ATM
TRX000332,1960,17,2025-08-30 12:40:44,136.01,Piura,POS
TRX000333,1339,41,2026-05-08 23:21:18,154.09,Arequipa,App
TRX000334,1205,28,2025-08-11 15:34:20,98.72,Lima,POS
TRX000335,1942,25,2025-11-25 11:49:24,35.92,Lima,POS
TRX000336,1200,63,2026-02-26 19:07:34,1.2,Lima,App
TRX000337,1251,8,2025-10-22 19:14:10,60.06,Arequipa,POS
TRX000338,2075,11,2025-07-24 05:00:20,317.09,Lima,POS
TRX000339,353,89,2025-10-27 05:50:03,160.41,Trujillo,POS
TRX000340,1905,52,2025-10-16 04:15:22,62.24,Lima,Web
TRX000341,1763,85,2026-04-03 05:43:38,169.79,Cusco,Web
TRX000342,2685,81,2025-11-12 02:36:33,355.34,Trujillo,ATM
TRX000343,16,54,2026-04-29 20:01:57,208.3,Cusco,App
TRX000344,1363,34,2025-07-28 05:52:11,247.56,Lima,App
TRX000345,1393,11,2026-05-03 09:32:10,100.98,Arequipa,POS
TRX000346,399,13,2025-07-31 10:21:32,17.71,Piura,App
TRX000347,2621,89,2025-11-30 14:38:25,126.56,Lima,POS
TRX000348,245,6,2026-04-21 12:46:59,121.89,Lima,ATM
TRX000349,2676,84,2025-08-14 17:39:42,127.95,Arequipa,POS
TRX000350,1607,14,2025-08-13 03:58:59,112.59,Cusco,Web
TRX000351,590,78,2025-11-21 13:50:56,62.02,Trujillo,Web
TRX000352,85,26,2026-05-05 16:26:16,18.92,Trujillo,Web
TRX000353,1331,65,2026-04-07 13:50:26,132.5,Arequipa,Web
TRX000354,506,81,2026-04-09 18:00:10,69.29,Trujillo,Web
TRX000355,1978,19,2025-06-24 18:01:40,98.12,Piura,POS
TRX000356,1038,82,2026-03-24 06:55:33,567.65,Cusco,ATM
TRX000357,1969,2,2026-02-13 18:23:16,12.91,Cusco,ATM
TRX000358,1311,85,2025-06-24 21:59:10,13.79,Cusco,Web
TRX000359,2653,6,2025-08-28 22:34:37,84.02,Trujillo,App
TRX000360,614,98,2026-04-24 22:25:11,16.2,Piura,POS
TRX000361,1677,59,2025-11-14 21:20:03,24.66,Arequipa,ATM
TRX000362,1689,30,2026-02-17 04:40:00,88.22,Arequipa,ATM
TRX000363,1390,19,2026-05-30 02:45:02,17.12,Piura,ATM
TRX000364,433,10,2025-06-28 19:21:04,388.69,Lima,App
TRX000365,2069,60,2025-12-13 16:36:37,72.59,Piura,ATM
TRX000366,2156,92,2025-09-09 23:50:50,44.1,Arequipa,ATM
TRX000367,1438,87,2025-09-04 19:09:13,136.83,Arequipa,POS
TRX000368,2538,47,2025-06-29 13:20:43,500.92,Piura,Web
TRX000369,2647,3,2025-07-17 14:02:28,2.11,Piura,ATM
TRX000370,220,87,2026-06-06 13:20:35,195.73,Piura,App
TRX000371,727,67,2026-04-15 05:00:24,93.11,Lima,App
TRX000372,2920,26,2025-11-06 10:10:49,19.8,Cusco,App
TRX000373,2893,87,2025-09-11 07:09:25,78.1,Trujillo,Web
TRX000374,39,58,2025-11-26 13:01:02,145.33,Lima,POS
TRX000375,211,39,2026-03-13 23:00:22,67.7,Cusco,App
TRX000376,2537,61,2025-10-01 13:40:35,462.6,Cusco,Web
TRX000377,77,84,2025-08-17 06:41:37,7.7,Arequipa,POS
TRX000378,688,68,2025-11-23 16:35:43,119.07,Lima,ATM
TRX000379,441,87,2025-08-25 16:28:30,0.88,Cusco,App
TRX000380,385,74,2025-11-23 20:22:45,81.66,Cusco,POS
TRX000381,2391,65,2026-05-29 15:34:12,27.16,Arequipa,App
TRX000382,1289,15,2025-10-03 06:45:23,193.16,Trujillo,POS
TRX000383,1400,72,2026-04-28 04:37:53,44.04,Piura,ATM
TRX000384,83,22,2026-01-17 23:00:54,249.5,Trujillo,ATM
TRX000385,169,53,2025-07-04 06:46:19,34.9,Cusco,Web
TRX000386,2394,17,2026-03-18 18:56:12,184.83,Trujillo,ATM
TRX000387,595,91,2026-04-28 01:51:54,221.75,Cusco,ATM
TRX000388,192,52,2026-03-05 15:45:31,31.47,Lima,App
TRX000389,1507,86,2026-02-02 23:11:07,228.77,Arequipa,App
TRX000390,895,69,2026-01-26 23:41:56,136.0,Arequipa,POS
TRX000391,1842,47,2026-01-12 07:20:31,244.31,Arequipa,App
